"num_obs","_col1"
"83572","1"
"138586","2"
"45410","1"
"208199","1"
"96134","1"
"87726","2"
"79367","1"
"129621","1"
"76214","1"
"29607","2"
"67336","3"
"61659","3"
"155567","1"
"102837","1"
"26352","4"
"63635","2"
"113163","1"
"26932","8"
"114797","1"
"83870","1"
"94588","1"
"40612","5"
"226737","1"
"94328","1"
"33288","7"
"57751","3"
"54290","2"
"134337","1"
"413045","1"
"79393","1"
"128548","1"
"60967","2"
"57838","1"
"60534","1"
"73419","4"
"58454","2"
"661163","1"
"80572","3"
"87517","2"
"127384","2"
"104471","1"
"88232","1"
"126981","1"
"100106","2"
"55609","1"
"132137","1"
"46250","2"
"116601","2"
"127287","2"
"143299","1"
"152067","1"
"118681","1"
"167687","2"
"122935","1"
"86415","2"
"295130","1"
"125852","1"
"40998","3"
"48503","5"
"170996","1"
"38338","5"
"44914","3"
"194174","1"
"2017331","1"
"286117","2"
"248909","1"
"92644","1"
"35784","2"
"79589","1"
"387177","1"
"38039","6"
"102169","1"
"207197","1"
"58331","1"
"117071","2"
"107016","1"
"69252","2"
"142140","1"
"41403","4"
"55238","3"
"103557","1"
"49824","3"
"84773","3"
"195122","1"
"42528","4"
"96989","1"
"48302","3"
"817658","1"
"162654","1"
"173306","1"
"46520","1"
"270512","1"
"176951","1"
"211798","1"
"55290","1"
"533023","1"
"257237","1"
"36752","3"
"84105","1"
"135855","1"
"73740","1"
"45287","6"
"118136","1"
"43272","1"
"155531","1"
"157932","1"
"60049","2"
"94207","2"
"192146","1"
"144920","1"
"54887","2"
"99156","1"
"85588","2"
"287705","1"
"200431","1"
"238893","2"
"452495","1"
"82753","3"
"140760","1"
"54029","2"
"130604","1"
"830271","1"
"101212","3"
"48899","2"
"24721","9"
"59234","4"
"102134","2"
"55473","1"
"105527","1"
"135053","1"
"32473","2"
"84857","1"
"102369","1"
"126410","1"
"51210","7"
"98858","1"
"224993","1"
"75867","2"
"47679","3"
"74561","1"
"364953","1"
"118963","1"
"132602","1"
"191514","1"
"113103","2"
"44556","3"
"60168","2"
"42802","2"
"85340","2"
"236641","1"
"33488","4"
"84609","1"
"159081","1"
"39090","3"
"115603","1"
"68386","1"
"63304","1"
"163135","1"
"48276","3"
"290395","1"
"140098","1"
"191219","1"
"56240","3"
"124929","1"
"71069","2"
"135473","2"
"219071","1"
"63860","1"
"350141","1"
"116737","1"
"77193","1"
"67851","1"
"48574","2"
"244333","1"
"114351","1"
"43168","2"
"88148","1"
"94586","1"
"645185","1"
"178828","1"
"63722","1"
"83954","2"
"293611","1"
"107501","1"
"83941","2"
"97733","1"
"534217","1"
"60855","3"
"44369","2"
"84570","2"
"102949","2"
"149916","2"
"44071","3"
"165999","1"
"127669","1"
"237667","1"
"69041","1"
"367561","1"
"115314","1"
"75891","1"
"57887","3"
"269980","1"
"489834","1"
"101632","1"
"267555","1"
"74369","1"
"124354","1"
"627423","1"
"95233","1"
"124886","1"
"520571","1"
"88827","1"
"76285","2"
"127604","1"
"66970","1"
"240835","1"
"265579","1"
"1222788","1"
"49264","2"
"82038","1"
"69487","2"
"69375","2"
"98472","1"
"48201","2"
"49658","1"
"105533","1"
"39653","3"
"60982","3"
"58566","2"
"56872","2"
"235602","1"
"53936","1"
"52471","2"
"121821","1"
"61956","2"
"51727","2"
"130464","1"
"400988","1"
"56402","1"
"65045","2"
"112137","1"
"627748","1"
"34230","2"
"102356","1"
"214850","1"
"117937","1"
"241428","1"
"80126","1"
"137389","1"
"87122","1"
"138786","1"
"141122","1"
"100733","1"
"52288","1"
"182414","1"
"234983","1"
"164495","1"
"224271","1"
"93972","1"
"257399","1"
"119103","1"
"95778","2"
"172002","1"
"198888","1"
"42774","2"
"152203","1"
"190417","1"
"332679","1"
"111902","1"
"49811","1"
"115344","2"
"143918","1"
"88340","2"
"102850","1"
"105365","1"
"137465","1"
"70858","2"
"221616","1"
"98707","1"
"115118","1"
"353793","1"
"405353","1"
"55350","1"
"63786","1"
"59051","1"
"252532","1"
"249812","1"
"84876","1"
"108837","1"
"155736","1"
"353222","1"
"100440","1"
"180744","1"
"86792","2"
"157682","1"
"171000","2"
"59762","1"
"183999","1"
"397712","1"
"439472","1"
"427402","1"
"120433","1"
"186917","1"
"179781","1"
"131863","1"
"125891","1"
"206132","1"
"220103","1"
"129550","1"
"85564","1"
"145058","1"
"111926","1"
"158150","1"
"91142","1"
"71972","1"
"53003","1"
"70338","1"
"145838","1"
"39558","2"
"111637","1"
"68138","2"
"62907","1"
"62967","1"
"246532","1"
"148653","1"
"222034","1"
"313843","1"
"68802","1"
"132723","1"
"135139","1"
"282233","1"
"215137","1"
"103434","2"
"62573","1"
"168590","1"
"128063","1"
"54475","2"
"126953","1"
"137919","1"
"81880","1"
"276683","1"
"524649","1"
"70970","1"
"169894","1"
"133852","1"
"105199","1"
"127149","1"
"84419","1"
"102391","1"
